Local Authority District name (2019),IMD_rank_avg,IMD_decile_avg,IMD_rank_std,IMD_decile_std
Richmondshire,22248.470588235294,7.352941176470588,4927.131307703414,1.4539883068425752
Rochdale,9892.111940298508,3.544776119402985,8385.131513049426,2.5652849338047967
Rochford,24637.735849056604,8.0,6805.7084386534925,2.0754980866510833
Rossendale,13356.976744186046,4.488372093023256,8568.505658149035,2.6759252340546205
Rother,16276.793103448275,5.413793103448276,6936.494255236868,2.168631897607343
Rotherham,11857.904191616766,4.149700598802395,8587.595248929709,2.598954244081832
Rugby,21276.081967213115,6.934426229508197,7717.939745154538,2.3865515739871506
Runnymede,22526.5,7.3076923076923075,6353.236048984617,1.965770432595108
Rushcliffe,27645.0,8.823529411764707,5433.464354858914,1.5829424374613457
Rushmoor,19886.775862068964,6.551724137931035,8402.270653928217,2.500332706233968
Rutland,26156.869565217392,8.478260869565217,4912.84036807766,1.5629100252527568
Ryedale,18839.433333333334,6.166666666666667,5675.697415346834,1.7436255002314776
Salford,9775.513333333334,3.533333333333333,8604.49842373058,2.625805511862932
Sandwell,7633.360215053764,2.8118279569892475,5641.499632365156,1.702802107964944
Scarborough,13137.295774647888,4.47887323943662,8099.625461172116,2.466108298685415
Sedgemoor,15622.971428571429,5.314285714285714,8029.375345190587,2.4408531244536773
Sefton,13850.703703703704,4.761904761904762,9528.910699228385,2.86420100838146
Selby,22550.28,7.3,7392.363760044302,2.270035511724386
Sevenoaks,22377.797297297297,7.364864864864865,7135.897509053688,2.1681020316960415
Sheffield,14221.733333333334,4.83768115942029,10548.637583619158,3.1718740998062813
Shropshire,17785.15025906736,5.891191709844559,6792.409082879183,2.0750439577506743
Slough,13063.625,4.5375,5316.76123783329,1.6299704897538336
Solihull,20075.83582089552,6.567164179104478,10666.082313939347,3.1893803136146412
Somerset West and Taunton,16555.727272727272,5.545454545454546,7566.006516942744,2.3533253113198436
South Bucks,25094.8,8.1,5383.990309359968,1.5656570669473096
South Cambridgeshire,26193.927083333332,8.427083333333334,5302.332392933652,1.581104155606832
South Derbyshire,20782.068965517243,6.862068965517241,7819.188926534807,2.335449735884831
South Gloucestershire,23301.5696969697,7.5636363636363635,7324.068000497088,2.2477384544571093
South Hams,20973.122448979593,6.836734693877551,6122.849430727538,1.8746881826887707
South Holland,16790.73469387755,5.673469387755102,5557.159146750516,1.7605367919808907
South Kesteven,21981.62962962963,7.209876543209877,7754.238032270554,2.370211221509151
South Lakeland,22326.966101694914,7.271186440677966,5306.619571317804,1.6591492260480165
South Norfolk,20911.975308641977,6.925925925925926,5763.502502765372,1.7448336437736531
South Northamptonshire,27280.37254901961,8.784313725490197,4206.896038462488,1.3162632789863293
South Oxfordshire,26566.404494382023,8.50561797752809,5669.786334997557,1.7262913184155133
