code,name,week,pop,deaths.1519,AllCause.20,COVID.20,Other.20,allexcess,excessrate_sum,othexcess_sum,excessrate_mean,othexcess_mean,COVIDrate
E07000078,Cheltenham,25,117090.0,1158.0000000000002,711.0,133.0,578.0,74.79999999999998,63.88248355965486,-58.199999999999996,0.8747479923498359,-0.990909090909091,1.7210278547711269
E07000079,Cotswold,25,89022.0,920.2000000000002,566.0,58.0,508.0,56.60000000000001,63.579789265574775,-1.4,0.8918462783799441,-0.08484848484848488,0.9871580943900139
E07000080,Forest of Dean,25,86543.0,921.8,529.0,48.0,481.0,18.6,21.492206186520015,-29.40000000000001,0.7668284709755425,-0.048484848484848436,0.8228524688550338
E07000081,Gloucester,25,129285.0,1139.3999999999999,753.0,144.0,609.0,127.39999999999998,98.54198089492208,-16.6,1.6266622601464231,-0.07878787878787873,1.6876034975582486
E07000082,Stroud,25,119019.0,1248.1999999999996,696.0,92.0,604.0,28.400000000000013,23.861736361421332,-63.59999999999999,0.42010099227854475,-0.893939393939394,1.171190645140183
E07000083,Tewkesbury,25,92599.0,858.9999999999999,528.0,104.0,424.0,60.0,64.79551615028232,-44.0,1.0701077667243595,-0.5848484848484847,1.7017004241488307
E07000084,Basingstoke and Deane,25,175729.0,1374.1999999999996,872.0,117.0,755.0,127.60000000000001,72.61180567806103,10.60000000000001,1.186399788793246,0.32727272727272744,1.0001626126454701
E07000085,East Hampshire,25,120681.0,1182.8,674.0,82.0,592.0,33.999999999999986,28.173449010200475,-48.00000000000003,0.6051516231246267,-0.5121212121212122,1.029511060087539
E07000086,Eastleigh,25,131819.0,1073.2000000000005,632.0,99.0,533.0,41.199999999999996,31.25497841737529,-57.80000000000002,0.977005430081238,-0.2121212121212121,1.1379239715063834
E07000087,Fareham,25,116339.0,1173.3999999999996,727.0,98.0,629.0,85.79999999999998,73.74998925553771,-12.2,1.307568503435754,0.03636363636363642,1.2763118858237443
E07000088,Gosport,25,85283.0,840.6000000000003,503.0,56.0,447.0,48.39999999999999,56.75222494518247,-7.599999999999999,0.7817110873992071,-0.18181818181818185,0.9949050203262639
E07000089,Hart,25,96293.0,715.9999999999995,400.0,48.0,352.0,5.399999999999997,5.607884269884649,-42.599999999999994,0.40281099132729103,-0.33939393939393936,0.7552706087386696
E07000090,Havant,25,125813.0,1347.0000000000002,808.0,109.0,699.0,63.20000000000001,50.23328272912975,-45.80000000000001,1.0332795498080485,-0.33636363636363636,1.300631601156984
E07000091,New Forest,25,179753.0,2184.4000000000015,1294.0,130.0,1164.0,96.19999999999999,53.51788287260856,-33.800000000000004,1.220530057322768,0.2393939393939394,1.087350672614897
E07000092,Rushmoor,25,95142.0,682.1999999999998,439.0,83.0,356.0,59.79999999999998,62.853419099871815,-23.199999999999996,0.8344783522938285,-0.4636363636363636,1.3217882297783925
E07000093,Test Valley,25,125169.0,1128.3999999999999,742.0,116.0,626.0,128.2000000000001,102.42152609671732,12.199999999999996,1.566367120138422,0.21818181818181812,1.3920573324259533
E07000094,Winchester,25,124295.0,1112.8000000000004,633.0,109.0,524.0,14.200000000000001,11.424433806669665,-94.79999999999997,0.4193347449311094,-1.0999999999999999,1.304326096151994
E07000095,Broxbourne,25,96876.0,766.1999999999996,525.0,74.0,451.0,111.40000000000003,114.99236136917277,37.39999999999998,1.7829727974655478,0.6060606060606057,1.1573683071267618
E07000096,Dacorum,25,154280.0,1248.2000000000005,795.0,121.0,674.0,131.39999999999992,85.16982110448538,10.399999999999988,1.5418640645500903,0.5909090909090913,1.1588532459675847
E07000098,Hertsmere,25,104205.0,931.6000000000005,701.0,179.0,522.0,195.40000000000003,187.51499448203063,16.399999999999995,3.123214293503627,0.5727272727272725,2.5735983703451693
E07000099,North Hertfordshire,25,133214.0,1251.6000000000001,738.0,96.0,642.0,48.40000000000002,36.33251760325492,-47.59999999999998,0.7051765875913484,-0.5151515151515151,1.0918863291737013
E07000102,Three Rivers,25,93045.0,806.7999999999998,472.0,87.0,385.0,33.80000000000001,36.32650867859636,-53.19999999999998,0.8532853930242289,-0.5242424242424242,1.4167142975783973
E07000103,Watford,25,96767.0,734.0,480.0,122.0,358.0,79.59999999999998,82.25944795229773,-42.4,1.575167592508214,-0.27878787878787875,1.8632698161876473
E07000105,Ashford,25,129281.0,1112.6000000000001,705.0,152.0,553.0,93.79999999999998,72.55513184458655,-58.19999999999998,1.0172813601004904,-0.6848484848484847,1.5470177365583497
E07000106,Canterbury,25,164553.0,1655.0,926.0,126.0,800.0,0.8000000000000056,0.48616555152447827,-125.2,0.23755816722216666,-1.4424242424242426,1.1141293889101582
E07000107,Dartford,25,109709.0,900.2000000000004,570.0,113.0,457.0,70.19999999999997,63.98745772908331,-42.800000000000004,1.085516312161346,-0.49090909090909113,1.5329810515255642
E07000108,Dover,25,116969.0,1301.2,776.0,121.0,655.0,52.4,44.79819439338638,-68.60000000000002,1.119177653131096,-0.40303030303030307,1.4637392917108052
E07000109,Gravesham,25,106385.0,896.9999999999995,614.0,91.0,523.0,121.79999999999998,114.48982469333075,30.800000000000015,1.6777256989692937,0.48181818181818203,1.2248252131694344
E07000110,Maidstone,25,169955.0,1520.2000000000007,872.0,115.0,757.0,28.599999999999977,16.827983878085384,-86.4,0.6097870826769655,-0.6757575757575759,1.0073967886329986
E07000111,Sevenoaks,25,120293.0,1090.4,676.0,98.0,578.0,76.40000000000002,63.51159252824354,-21.599999999999998,1.047946314919456,-0.19393939393939397,1.2091688249070651
E07000112,Folkestone and Hythe,25,112578.0,1320.599999999999,752.0,128.0,624.0,13.200000000000001,11.725203858658011,-114.80000000000004,0.47912908329686055,-1.2181818181818183,1.5612071253493198
E07000113,Swale,25,148519.0,1333.9999999999998,821.0,121.0,700.0,76.40000000000002,51.44122974164919,-44.6,0.8610264537115647,-0.5090909090909093,1.2038047575588222
E07000114,Thanet,25,141819.0,1736.1999999999998,1065.0,146.0,919.0,109.99999999999999,77.56365508147717,-35.999999999999986,1.3440093401170559,-0.23030303030303026,1.5064015656319922
E07000115,Tonbridge and Malling,25,130508.0,1058.8000000000002,595.0,74.0,521.0,17.39999999999999,13.332516014343934,-56.600000000000016,0.5479752315195349,-0.37575757575757573,0.8358944209620038
